load_ts,user,time
2022-11-13 17:05:00.000,BrilliantGreenFlamingo,00:04:03
2022-11-13 17:20:00.000,MarmiteWine,00:01:41
2022-11-14 00:09:00.000,Drywhitefruitycidergin,00:02:19
2022-11-14 00:51:00.000,Floralnomad,00:01:21
2022-11-14 02:48:00.000,Sunbird24,00:00:53
2022-11-14 05:01:00.000,JoyDivisionOvenGlovesx,00:01:06
2022-11-14 06:46:00.000,Hepzibar,00:02:33
2022-11-14 07:12:00.000,DadDadDad,00:01:56
2022-11-14 08:07:00.000,Readytostartagain,00:01:42
2022-11-14 08:09:00.000,UmbilicusProfundus,00:01:16
2022-11-14 08:14:00.000,MarmiteWine,00:00:52
2022-11-14 11:57:00.000,BrilliantGreenFlamingo,00:06:19
2022-11-15 00:27:00.000,LikeTearsInRain,00:05:30
2022-11-15 06:50:00.000,Hepzibar,00:03:45
2022-11-15 07:29:00.000,oviraptor21,00:08:36
2022-11-15 07:31:00.000,DadDadDad,00:10:39
2022-11-15 07:47:00.000,JoyDivisionOvenGlovesx,00:02:19
2022-11-15 08:04:00.000,UmbilicusProfundus,00:02:54
2022-11-15 08:05:00.000,Readytostartagain,00:03:00
2022-11-15 10:11:00.000,Floralnomad,00:02:22
2022-11-15 14:14:00.000,Sunbird24,00:02:16
2022-11-15 18:31:00.000,MarmiteWine,00:08:46
2022-11-16 07:38:00.000,DadDadDad,00:20:54
2022-11-16 07:44:00.000,JoyDivisionOvenGlovesx,00:03:01
2022-11-16 08:33:00.000,oviraptor21,00:07:00
2022-11-16 10:06:00.000,MarmiteWine,00:19:05
2022-11-16 10:32:00.000,Sunbird24,00:03:03
2022-11-16 10:36:00.000,Floralnomad,00:01:48
2022-11-16 14:00:00.000,AngeloMysterioso,00:09:17
2022-11-17 00:29:00.000,LikeTearsInRain,00:04:57
2022-11-17 00:49:00.000,Floralnomad,00:02:51
2022-11-17 06:04:00.000,JoyDivisionOvenGlovesx,00:01:52
2022-11-17 06:49:00.000,Hepzibar,00:05:31
2022-11-17 07:12:00.000,Drywhitefruitycidergin,00:07:48
2022-11-17 07:28:00.000,DadDadDad,00:04:04
2022-11-17 08:01:00.000,UmbilicusProfundus,00:02:27
2022-11-17 08:11:00.000,Readytostartagain,00:03:16
2022-11-17 09:46:00.000,restisall,00:07:28
2022-11-17 10:03:00.000,BrilliantGreenFlamingo,00:07:18
2022-11-17 10:55:00.000,MarmiteWine,00:03:48
2022-11-17 17:14:00.000,Sunbird24,00:01:31
2022-11-17 18:15:00.000,oviraptor21,00:01:48
2022-11-18 00:36:00.000,Sunbird24,00:01:11
2022-11-18 01:35:00.000,Floralnomad,00:01:41
2022-11-18 06:27:00.000,JoyDivisionOvenGlovesx,00:01:06
2022-11-18 07:27:00.000,oviraptor21,00:01:10
2022-11-18 07:54:00.000,UmbilicusProfundus,00:01:05
2022-11-18 08:16:00.000,Readytostartagain,00:01:07
2022-11-18 08:30:00.000,DadDadDad,00:01:38
2022-11-18 08:42:00.000,Drywhitefruitycidergin,00:01:54
2022-11-18 09:21:00.000,LikeTearsInRain,00:02:54
2022-11-18 09:27:00.000,BrilliantGreenFlamingo,00:02:56
2022-11-18 09:38:00.000,MarmiteWine,00:00:50
