load_ts,time,user
2022-11-13 17:05:00.000,00:04:03,BrilliantGreenFlamingo
2022-11-13 17:20:00.000,00:01:41,MarmiteWine
2022-11-14 00:09:00.000,00:02:19,Drywhitefruitycidergin
2022-11-14 00:51:00.000,00:01:21,Floralnomad
2022-11-14 02:48:00.000,00:00:53,Sunbird24
2022-11-14 05:01:00.000,00:01:06,JoyDivisionOvenGlovesx
2022-11-14 06:46:00.000,00:02:33,Hepzibar
2022-11-14 07:12:00.000,00:01:56,DadDadDad
2022-11-14 08:07:00.000,00:01:42,Readytostartagain
2022-11-14 08:09:00.000,00:01:16,UmbilicusProfundus
2022-11-14 08:14:00.000,00:00:52,MarmiteWine
2022-11-14 11:57:00.000,00:06:19,BrilliantGreenFlamingo
2022-11-15 00:27:00.000,00:05:30,LikeTearsInRain
2022-11-15 06:50:00.000,00:03:45,Hepzibar
2022-11-15 07:29:00.000,00:08:36,oviraptor21
2022-11-15 07:31:00.000,00:10:39,DadDadDad
2022-11-15 07:47:00.000,00:02:19,JoyDivisionOvenGlovesx
2022-11-15 08:04:00.000,00:02:54,UmbilicusProfundus
2022-11-15 08:05:00.000,00:03:00,Readytostartagain
2022-11-15 10:11:00.000,00:02:22,Floralnomad
2022-11-15 14:14:00.000,00:02:16,Sunbird24
2022-11-15 18:31:00.000,00:08:46,MarmiteWine
2022-11-16 07:38:00.000,00:20:54,DadDadDad
2022-11-16 07:44:00.000,00:03:01,JoyDivisionOvenGlovesx
2022-11-16 08:33:00.000,00:07:00,oviraptor21
2022-11-16 10:06:00.000,00:19:05,MarmiteWine
2022-11-16 10:32:00.000,00:03:03,Sunbird24
2022-11-16 10:36:00.000,00:01:48,Floralnomad
2022-11-16 14:00:00.000,00:09:17,AngeloMysterioso
2022-11-17 00:29:00.000,00:04:57,LikeTearsInRain
2022-11-17 00:49:00.000,00:02:51,Floralnomad
2022-11-17 06:04:00.000,00:01:52,JoyDivisionOvenGlovesx
2022-11-17 06:49:00.000,00:05:31,Hepzibar
2022-11-17 07:12:00.000,00:07:48,Drywhitefruitycidergin
2022-11-17 07:28:00.000,00:04:04,DadDadDad
2022-11-17 08:01:00.000,00:02:27,UmbilicusProfundus
2022-11-17 08:11:00.000,00:03:16,Readytostartagain
2022-11-17 09:46:00.000,00:07:28,restisall
2022-11-17 10:03:00.000,00:07:18,BrilliantGreenFlamingo
2022-11-17 10:55:00.000,00:03:48,MarmiteWine
2022-11-17 17:14:00.000,00:01:31,Sunbird24
2022-11-17 18:15:00.000,00:01:48,oviraptor21
2022-11-18 00:36:00.000,00:01:11,Sunbird24
2022-11-18 01:35:00.000,00:01:41,Floralnomad
2022-11-18 06:27:00.000,00:01:06,JoyDivisionOvenGlovesx
2022-11-18 07:27:00.000,00:01:10,oviraptor21
2022-11-18 07:54:00.000,00:01:05,UmbilicusProfundus
2022-11-18 08:16:00.000,00:01:07,Readytostartagain
2022-11-18 08:30:00.000,00:01:38,DadDadDad
2022-11-18 08:42:00.000,00:01:54,Drywhitefruitycidergin
2022-11-18 09:21:00.000,00:02:54,LikeTearsInRain
2022-11-18 09:27:00.000,00:02:56,BrilliantGreenFlamingo
2022-11-18 09:38:00.000,00:00:50,MarmiteWine
2022-11-18 15:32:00.000,00:12:20,bruffin
2022-11-18 21:46:00.000,00:02:52,Hepzibar
2022-11-19 08:22:00.000,00:03:00,Hepzibar
2022-11-19 08:30:00.000,00:01:05,Sunbird24
2022-11-19 08:46:00.000,00:03:39,oviraptor21
2022-11-19 08:51:00.000,00:03:46,Readytostartagain
2022-11-19 09:36:00.000,00:01:01,JoyDivisionOvenGlovesx
2022-11-19 10:46:00.000,00:01:46,MarmiteWine
2022-11-19 11:03:00.000,00:02:55,Floralnomad
2022-11-19 11:23:00.000,00:15:30,Drywhitefruitycidergin
2022-11-19 11:57:00.000,00:11:23,DadDadDad
2022-11-19 11:59:00.000,00:04:17,AngeloMysterioso
2022-11-19 17:22:00.000,00:26:10,hoochyhag
2022-11-20 00:16:00.000,00:00:49,Sunbird24
2022-11-20 01:15:00.000,00:01:27,Floralnomad
2022-11-20 07:10:00.000,00:00:55,JoyDivisionOvenGlovesx
2022-11-20 08:21:00.000,00:02:16,Readytostartagain
2022-11-20 08:25:00.000,00:04:35,Swissnotswiss
2022-11-20 08:25:00.000,00:01:04,SquirrelFan
2022-11-20 08:37:00.000,00:04:15,DadDadDad
